LeetcodeId,Title,Acceptance,Difficulty,Frequency,Topic,Company
973,K Closest Points to Origin    ,0.646,Medium,10,Heap|Sort|Divide and Conquer,google|amazon|facebook|apple
269,Alien Dictionary    ,0.304,Hard,10,Graph|Topological Sort,google|amazon|facebook|microsoft|bloomberg|uber|apple|yahoo|airbnb|snapchat|twitter|oracle|lyft|pinterest|pocket-gems|rubrik
11,Container With Most Water    ,0.432,Medium,10,Two Pointers|Array,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|alibaba|airbnb|baidu|twitter|goldman-sachs|tencent|walmart-labs|lyft|palantir-technologies|works-applications|samsung|aetion|huawei|intel|citrix|appdynamics|zynga
297,Serialize and Deserialize Binary Tree    ,0.398,Hard,10,Tree|Design,google|amazon|facebook|microsoft|bloomberg|uber|apple|linkedin|yahoo|oracle|vmware|salesforce|intuit|indeed|quora|tableau|groupon
924,Minimize Malware Spread    ,0.393,Hard,10,Depth First|Union Find,dropbox
76,Minimum Window Substring    ,0.301,Hard,10,HashTable|Two Pointers|String|Sliding Window,google|amazon|facebook|microsoft|bloomberg|uber|apple|linkedin|yahoo|alibaba|airbnb|snapchat|vmware|walmart-labs|liveramp|Netsuite
33,Search in Rotated Sorted Array    ,0.327,Medium,10,Binary Search|Array,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|baidu|snapchat|goldman-sachs|ebay|tencent|yelp|vmware|walmart-labs|expedia|cisco|paypal|mathworks|two-sigma|nutanix|nvidia|palantir-technologies|visa|samsung|netease|aetion|ixl|affirm|tripadvisor
22,Generate Parentheses    ,0.537,Medium,10,String|Backtracking,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|yahoo|alibaba|snapchat|ebay|yelp|walmart-labs|salesforce|lyft|zenefits|intuit|nvidia|works-applications|netease|aetion|yandex|ibm
31,Next Permutation    ,0.302,Medium,10,Array,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|samsung|quora|rubrik|houzz|sumologic
771,Jewels and Stones    ,0.829,Easy,10,HashTable,google|amazon|adobe|apple|yahoo|alibaba|baidu
811,Subdomain Visit Count    ,0.643,Easy,10,HashTable,google|bloomberg|pinterest|intuit|indeed|citrix|Roblox
141,Linked List Cycle    ,0.361,Easy,10,Two Pointers|Linked List,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|baidu|goldman-sachs|oracle|ebay|tencent|walmart-labs|expedia|netease|yandex|intel|ibm|morgan-stanley
